Animal_Type,Age_years,Fever_Detected,Appetite_Loss,Physical_Weakness,Vaccination_Status,Core_Temperature_C,Surrounding_Humidity_%,Disease
Cow,11.2,Yes,Yes,Yes,Not up to date,40.6,75,FMD
Buffalo,8.6,Yes,Yes,No,Up to date,39.8,65,Minor Illness
Sheep,9.8,No,No,Yes,Not up to date,39.4,42,Minor Illness
Goat,9.9,No,Yes,Yes,Not up to date,37.8,69,Infection
Buffalo,5.8,Yes,No,Yes,Not up to date,37.8,52,Minor Illness
Buffalo,4.6,No,No,Yes,Up to date,39.2,58,Minor Illness
Cow,10.6,No,No,No,Up to date,41.3,87,Healthy
Cow,6.3,Yes,No,No,Not up to date,38.4,65,Minor Illness
Cow,6.3,No,No,Yes,Not up to date,39.8,42,Minor Illness
Sheep,9.6,No,Yes,No,Not up to date,38.4,90,Minor Illness
Buffalo,0.6,No,Yes,Yes,Up to date,39.3,70,Infection
Cow,9.1,No,Yes,Yes,Up to date,40.1,47,Infection
Sheep,6.0,Yes,No,Yes,Up to date,38.9,42,Minor Illness
Buffalo,2.3,No,Yes,No,Not up to date,39.6,43,Minor Illness
Cow,10.5,No,No,Yes,Up to date,41.2,77,Minor Illness
Sheep,9.9,Yes,No,Yes,Not up to date,41.3,61,FMD
Goat,10.1,No,No,No,Not up to date,39.9,60,Healthy
Cow,1.5,Yes,Yes,Yes,Up to date,41.3,64,FMD
Sheep,11.2,Yes,Yes,Yes,Up to date,38.9,88,Infection
Sheep,11.8,No,No,No,Not up to date,39.1,87,Healthy
Goat,3.3,No,No,No,Not up to date,40.1,66,Healthy
Sheep,6.4,No,No,No,Not up to date,40.7,57,Healthy
Sheep,6.9,No,Yes,Yes,Not up to date,39.1,79,Infection
Cow,3.4,Yes,No,Yes,Not up to date,40.5,84,FMD
Buffalo,6.9,No,No,No,Not up to date,41.5,83,Healthy
Sheep,10.0,No,Yes,Yes,Not up to date,38.3,77,Infection
Cow,7.8,Yes,Yes,No,Up to date,37.8,52,Minor Illness
Goat,9.4,No,No,No,Not up to date,41.5,82,Healthy
Goat,10.4,Yes,Yes,No,Not up to date,41.4,88,FMD
Buffalo,3.2,Yes,Yes,No,Not up to date,38.1,48,Minor Illness
Cow,5.2,No,Yes,Yes,Not up to date,40.6,90,Infection
Cow,5.2,No,Yes,Yes,Up to date,39.6,43,Infection
Buffalo,8.4,Yes,No,Yes,Not up to date,40.6,70,Lumpy Skin Disease
Cow,1.0,No,No,Yes,Not up to date,38.4,88,Minor Illness
Goat,2.5,No,Yes,No,Up to date,38.0,83,Minor Illness
Cow,9.2,No,No,No,Not up to date,39.1,46,Healthy
Goat,2.0,No,No,No,Up to date,40.8,66,Healthy
Buffalo,10.5,No,Yes,No,Not up to date,37.8,50,Minor Illness
Cow,10.1,Yes,No,Yes,Up to date,40.2,44,Lumpy Skin Disease
Cow,1.2,No,Yes,No,Not up to date,41.0,75,Minor Illness
Buffalo,5.9,Yes,Yes,Yes,Not up to date,37.7,72,Infection
Sheep,7.6,Yes,Yes,Yes,Not up to date,41.1,40,Lumpy Skin Disease
Buffalo,11.1,Yes,Yes,No,Up to date,40.3,87,FMD
Sheep,2.2,Yes,No,No,Not up to date,40.5,59,Lumpy Skin Disease
Buffalo,11.0,No,Yes,Yes,Up to date,37.8,78,Infection
Goat,3.2,No,Yes,Yes,Up to date,39.9,45,Infection
Cow,7.4,No,No,Yes,Up to date,38.5,78,Minor Illness
Sheep,9.8,No,Yes,Yes,Not up to date,38.0,78,Infection
Cow,3.0,No,Yes,Yes,Up to date,40.0,79,Infection
Sheep,2.8,No,Yes,No,Up to date,39.8,41,Minor Illness
Goat,10.4,Yes,No,Yes,Up to date,40.9,63,Lumpy Skin Disease
Cow,2.6,No,No,Yes,Not up to date,37.6,65,Minor Illness
Sheep,4.0,No,No,Yes,Up to date,40.9,70,Minor Illness
Cow,1.7,No,Yes,No,Up to date,39.1,76,Minor Illness
Sheep,4.7,No,Yes,No,Not up to date,39.9,80,Minor Illness
Buffalo,3.6,No,Yes,No,Not up to date,39.8,58,Minor Illness
Sheep,7.6,Yes,Yes,Yes,Not up to date,40.2,87,Lumpy Skin Disease
Goat,9.7,No,Yes,No,Up to date,40.0,56,Minor Illness
Goat,4.2,No,No,Yes,Not up to date,38.0,47,Minor Illness
Sheep,3.5,Yes,No,No,Up to date,37.6,62,Minor Illness
Goat,10.2,No,No,No,Up to date,40.3,65,Healthy
Goat,6.8,Yes,No,Yes,Up to date,41.2,48,FMD
Cow,10.0,No,No,No,Not up to date,38.2,89,Healthy
Buffalo,3.5,No,Yes,Yes,Up to date,41.4,69,Infection
Goat,5.7,Yes,No,Yes,Not up to date,39.3,51,Minor Illness
Goat,9.4,No,No,No,Up to date,40.2,71,Healthy
Cow,12.0,Yes,No,No,Up to date,40.6,67,FMD
Goat,9.8,Yes,No,No,Not up to date,38.1,52,Minor Illness
Goat,2.7,Yes,Yes,No,Up to date,38.9,42,Minor Illness
Goat,1.1,Yes,Yes,Yes,Up to date,38.2,49,Infection
Goat,1.9,Yes,Yes,No,Not up to date,40.2,40,Lumpy Skin Disease
Sheep,7.8,No,No,No,Not up to date,38.1,55,Healthy
Cow,11.7,Yes,No,Yes,Not up to date,39.2,66,Minor Illness
Buffalo,1.7,Yes,Yes,No,Not up to date,37.6,58,Minor Illness
Cow,9.0,Yes,Yes,Yes,Up to date,37.5,50,Infection
Sheep,8.9,Yes,Yes,Yes,Not up to date,38.5,63,Infection
Buffalo,4.9,No,No,Yes,Up to date,40.5,86,Minor Illness
Buffalo,9.4,Yes,Yes,No,Not up to date,39.1,46,Minor Illness
Sheep,7.3,Yes,Yes,No,Up to date,40.3,67,FMD
Buffalo,5.1,Yes,No,No,Not up to date,37.7,87,Minor Illness
Buffalo,5.5,Yes,No,Yes,Not up to date,40.7,61,FMD
Goat,2.9,Yes,No,Yes,Up to date,40.8,49,FMD
Goat,1.8,No,Yes,Yes,Up to date,41.3,59,Infection
Cow,2.0,No,Yes,No,Not up to date,39.3,75,Minor Illness
Buffalo,9.1,No,No,Yes,Up to date,40.5,48,Minor Illness
Cow,9.2,Yes,No,Yes,Not up to date,37.8,83,Minor Illness
Cow,4.2,No,No,No,Up to date,40.9,58,Healthy
Cow,2.1,Yes,No,No,Up to date,38.5,67,Minor Illness
Buffalo,2.7,Yes,Yes,Yes,Not up to date,39.7,69,Infection
Buffalo,7.2,Yes,Yes,Yes,Up to date,37.8,75,Infection
Sheep,10.3,No,Yes,Yes,Not up to date,41.0,84,Infection
Buffalo,2.5,Yes,Yes,Yes,Up to date,40.2,50,FMD
Cow,1.7,Yes,Yes,Yes,Up to date,41.2,82,FMD
Buffalo,2.6,No,No,No,Not up to date,38.0,60,Healthy
Goat,1.2,Yes,Yes,Yes,Not up to date,38.7,41,Infection
Sheep,2.0,Yes,No,No,Up to date,39.2,82,Minor Illness
Goat,10.1,No,Yes,No,Up to date,37.8,58,Minor Illness
Sheep,10.7,No,Yes,Yes,Up to date,40.6,67,Infection
Goat,9.8,Yes,Yes,Yes,Not up to date,41.0,60,FMD
Goat,6.6,Yes,No,Yes,Not up to date,40.1,57,FMD
Sheep,10.5,Yes,No,Yes,Not up to date,38.7,73,Minor Illness
Goat,7.7,No,Yes,No,Not up to date,39.9,59,Minor Illness
Goat,3.8,Yes,No,Yes,Up to date,39.7,64,Minor Illness
Cow,7.6,No,No,No,Up to date,38.7,72,Healthy
Buffalo,6.6,No,No,Yes,Up to date,38.2,66,Minor Illness
Cow,2.1,Yes,No,Yes,Not up to date,41.0,82,FMD
Goat,9.1,Yes,Yes,Yes,Up to date,40.3,55,FMD
Cow,10.9,No,Yes,No,Not up to date,39.9,59,Minor Illness
Sheep,7.9,No,No,Yes,Up to date,40.5,76,Minor Illness
Cow,5.5,No,No,Yes,Not up to date,40.6,44,Minor Illness
Goat,6.0,No,No,No,Not up to date,39.3,55,Healthy
Sheep,9.1,No,Yes,No,Up to date,37.8,59,Minor Illness
Sheep,3.9,Yes,Yes,Yes,Not up to date,38.7,77,Infection
Goat,11.5,No,No,Yes,Not up to date,41.4,59,Minor Illness
Goat,10.1,No,No,No,Up to date,38.0,49,Healthy
Sheep,3.9,No,No,No,Not up to date,39.0,68,Healthy
Goat,10.1,Yes,Yes,No,Up to date,38.2,88,Minor Illness
Buffalo,1.6,Yes,Yes,Yes,Not up to date,39.7,52,Infection
Sheep,5.6,No,No,Yes,Up to date,40.6,50,Minor Illness
Buffalo,2.4,No,No,Yes,Up to date,39.2,89,Minor Illness
Cow,4.3,No,No,No,Up to date,40.0,76,Healthy
Cow,10.6,Yes,No,No,Up to date,38.0,45,Minor Illness
Cow,2.1,No,No,No,Up to date,40.1,73,Healthy
Goat,9.2,No,No,No,Not up to date,39.2,76,Healthy
Sheep,5.6,No,Yes,Yes,Not up to date,39.3,78,Infection
Goat,6.8,Yes,Yes,No,Not up to date,40.8,73,FMD
Goat,9.7,Yes,Yes,No,Not up to date,40.7,42,Lumpy Skin Disease
Sheep,6.6,No,No,No,Up to date,38.1,75,Healthy
Buffalo,1.0,Yes,Yes,No,Up to date,39.4,77,Minor Illness
Buffalo,6.0,No,Yes,Yes,Up to date,41.1,41,Infection
Cow,5.5,No,No,No,Up to date,41.4,53,Healthy
Sheep,4.5,No,No,Yes,Up to date,41.3,77,Minor Illness
Cow,10.1,Yes,Yes,Yes,Up to date,39.3,77,Infection
Buffalo,11.3,Yes,Yes,Yes,Up to date,39.2,57,Infection
Goat,11.7,No,Yes,No,Up to date,37.5,65,Minor Illness
Buffalo,2.7,No,Yes,Yes,Not up to date,38.9,77,Infection
Cow,12.0,Yes,No,No,Up to date,41.0,80,FMD
Cow,5.2,Yes,No,No,Up to date,37.6,74,Minor Illness
Sheep,8.2,No,No,No,Up to date,38.2,55,Healthy
Goat,12.0,No,No,No,Not up to date,39.3,44,Healthy
Goat,3.6,No,No,No,Up to date,40.2,76,Healthy
Buffalo,6.6,Yes,Yes,Yes,Up to date,39.4,77,Infection
Cow,10.5,Yes,No,Yes,Not up to date,38.8,40,Minor Illness
Sheep,8.6,Yes,No,No,Up to date,39.0,45,Minor Illness
Goat,8.6,Yes,Yes,Yes,Up to date,38.4,78,Infection
Cow,1.0,Yes,No,Yes,Up to date,39.5,59,Minor Illness
Goat,2.1,Yes,No,No,Up to date,37.9,80,Minor Illness
Cow,2.3,Yes,Yes,No,Up to date,38.6,72,Minor Illness
Goat,6.9,No,No,Yes,Up to date,38.1,54,Minor Illness
Cow,4.4,Yes,Yes,Yes,Not up to date,37.6,63,Infection
Goat,0.8,Yes,No,Yes,Up to date,41.2,52,Lumpy Skin Disease
Cow,5.7,No,Yes,No,Up to date,38.9,44,Minor Illness
Cow,4.9,Yes,No,No,Not up to date,40.3,52,FMD
Buffalo,1.8,No,No,Yes,Up to date,38.9,83,Minor Illness
Goat,2.9,Yes,Yes,Yes,Not up to date,40.8,80,Lumpy Skin Disease
Cow,3.7,Yes,No,Yes,Not up to date,41.3,60,FMD
Sheep,7.9,No,Yes,Yes,Not up to date,38.1,58,Infection
Goat,4.9,No,No,No,Up to date,38.1,69,Healthy
Sheep,2.9,Yes,No,Yes,Up to date,39.2,64,Minor Illness
Sheep,8.5,Yes,Yes,Yes,Not up to date,41.2,43,FMD
Goat,6.7,Yes,No,No,Not up to date,39.9,49,Minor Illness
Goat,4.5,No,No,Yes,Up to date,39.3,69,Minor Illness
Sheep,9.3,No,Yes,Yes,Not up to date,38.5,86,Infection
Cow,9.6,No,No,No,Up to date,41.2,72,Healthy
Buffalo,0.7,No,Yes,No,Up to date,39.9,65,Minor Illness
Goat,2.2,No,No,Yes,Not up to date,39.8,43,Minor Illness
Sheep,5.5,No,No,Yes,Not up to date,40.3,52,Minor Illness
Sheep,2.3,Yes,Yes,Yes,Not up to date,40.0,61,Infection
Goat,7.9,No,Yes,No,Up to date,40.0,51,Minor Illness
Goat,1.8,Yes,Yes,No,Not up to date,38.8,90,Minor Illness
Buffalo,9.6,Yes,No,No,Up to date,39.3,89,Minor Illness
Cow,3.5,No,Yes,No,Up to date,40.6,64,Minor Illness
Goat,7.1,No,No,Yes,Up to date,41.3,75,Minor Illness
Sheep,7.4,No,No,No,Not up to date,39.3,64,Healthy
Cow,10.7,Yes,No,No,Up to date,38.0,68,Minor Illness
Buffalo,10.9,No,Yes,No,Up to date,40.6,45,Minor Illness
Cow,8.9,No,Yes,No,Up to date,39.4,90,Minor Illness
Goat,10.5,Yes,Yes,No,Not up to date,37.9,65,Minor Illness
Cow,3.0,Yes,No,Yes,Up to date,38.7,52,Minor Illness
Sheep,8.5,Yes,No,No,Not up to date,39.6,55,Minor Illness
Buffalo,9.0,No,No,Yes,Not up to date,37.6,51,Minor Illness
Cow,10.5,No,No,No,Not up to date,39.4,53,Healthy
Buffalo,5.4,No,Yes,No,Not up to date,39.4,47,Minor Illness
Buffalo,1.4,No,Yes,No,Not up to date,40.4,81,Minor Illness
Sheep,2.4,No,No,Yes,Up to date,38.9,85,Minor Illness
Cow,7.3,Yes,Yes,No,Up to date,38.0,82,Minor Illness
Buffalo,1.4,No,Yes,Yes,Up to date,39.8,50,Infection
Buffalo,5.8,Yes,No,Yes,Not up to date,39.1,81,Minor Illness
Cow,1.2,No,No,No,Not up to date,40.3,57,Healthy
Cow,9.1,Yes,Yes,Yes,Not up to date,41.2,53,FMD
Cow,9.1,Yes,Yes,Yes,Not up to date,40.1,80,FMD
Cow,3.8,Yes,No,Yes,Not up to date,38.7,66,Minor Illness
Buffalo,4.7,Yes,No,No,Up to date,39.3,88,Minor Illness
Goat,6.0,No,No,Yes,Not up to date,40.2,76,Minor Illness
Buffalo,10.9,No,No,No,Up to date,38.3,51,Healthy
Goat,7.0,Yes,No,Yes,Up to date,39.9,86,Minor Illness
Cow,7.3,No,Yes,No,Up to date,39.6,73,Minor Illness
Sheep,8.3,Yes,No,No,Not up to date,41.1,90,Lumpy Skin Disease
Goat,2.0,Yes,No,Yes,Not up to date,38.1,58,Minor Illness
Goat,3.4,Yes,Yes,Yes,Not up to date,39.5,59,Infection
Goat,5.5,Yes,Yes,No,Up to date,39.2,43,Minor Illness
Sheep,4.8,Yes,Yes,Yes,Up to date,39.0,59,Infection
Sheep,1.4,No,Yes,Yes,Up to date,41.1,49,Infection
Sheep,5.7,Yes,Yes,Yes,Up to date,40.3,67,FMD
Cow,3.5,Yes,No,Yes,Not up to date,37.8,62,Minor Illness
Buffalo,5.5,Yes,No,No,Not up to date,41.2,89,FMD
Goat,11.4,No,Yes,No,Up to date,41.3,62,Minor Illness
Cow,9.7,Yes,Yes,No,Not up to date,39.3,89,Minor Illness
Buffalo,8.0,No,Yes,Yes,Not up to date,38.6,81,Infection
Cow,1.1,No,Yes,Yes,Up to date,37.8,76,Infection
Goat,6.8,No,Yes,Yes,Up to date,38.6,55,Infection
Buffalo,7.9,Yes,Yes,No,Up to date,40.8,85,Lumpy Skin Disease
Buffalo,3.1,No,Yes,Yes,Not up to date,38.6,61,Infection
Goat,9.7,No,No,Yes,Up to date,39.3,44,Minor Illness
Goat,9.8,No,No,Yes,Up to date,40.8,75,Minor Illness
Buffalo,0.7,No,No,No,Not up to date,41.4,48,Healthy
Cow,10.7,No,No,Yes,Not up to date,38.4,42,Minor Illness
Buffalo,11.5,Yes,Yes,No,Not up to date,39.7,87,Minor Illness
Buffalo,7.8,No,No,No,Up to date,38.6,45,Healthy
Goat,4.6,Yes,No,Yes,Up to date,38.1,54,Minor Illness
Sheep,10.8,No,Yes,Yes,Up to date,38.0,47,Infection
