Animal,Age,Fever,AppetiteLoss,Weakness,Vaccination,Temp,Humidity,Disease
Sheep,14,No,No,No,Not Vaccinated,38.1,64.4,Healthy
Goat,2,No,No,No,Not Vaccinated,37.7,63.7,Healthy
Cow,7,Yes,Yes,Yes,Up to date,40.9,36.7,Foot and Mouth
Cow,14,No,No,No,Up to date,38.1,39.5,Healthy
Buffalo,8,No,Yes,No,Up to date,39.9,59.6,Mastitis
Goat,1,Yes,Yes,No,Not Vaccinated,39.2,61.5,Mastitis
Buffalo,11,No,No,No,Up to date,38.4,58.2,Healthy
Goat,4,No,No,No,Up to date,37.8,55.4,Healthy
Sheep,9,No,Yes,Yes,Not Vaccinated,39.6,40.8,Mastitis
Cow,14,No,Yes,Yes,Not Vaccinated,40.7,87.1,Heat Stress
Goat,11,No,No,No,Not Vaccinated,37.6,58.9,Healthy
Goat,7,No,Yes,Yes,Not Vaccinated,40.6,85.7,Heat Stress
Sheep,4,No,No,No,Up to date,38.0,38.1,Healthy
Buffalo,13,No,No,No,Up to date,38.3,59.8,Healthy
Buffalo,5,No,No,No,Not Vaccinated,37.6,42.7,Healthy
Cow,8,No,No,No,Not Vaccinated,38.1,64.9,Healthy
Buffalo,4,No,No,No,Up to date,38.4,39.2,Healthy
Goat,12,No,Yes,No,Not Vaccinated,39.1,35.6,Mastitis
Sheep,7,No,No,No,Not Vaccinated,37.9,56.7,Healthy
Buffalo,11,Yes,Yes,No,Up to date,40.9,80.7,Heat Stress
Cow,12,Yes,Yes,Yes,Up to date,39.1,57.3,Mastitis
Cow,12,No,No,No,Up to date,38.2,59.6,Healthy
Sheep,7,No,No,No,Not Vaccinated,37.6,81.1,Healthy
Cow,8,No,Yes,No,Up to date,41.3,84.3,Heat Stress
Goat,6,No,No,No,Not Vaccinated,38.5,62.2,Healthy
Sheep,3,No,No,No,Up to date,38.3,89.0,Healthy
Cow,14,Yes,Yes,Yes,Not Vaccinated,39.6,81.0,Respiratory Infection
Goat,11,No,No,No,Up to date,37.7,64.7,Healthy
Goat,15,Yes,No,No,Up to date,41.0,87.2,Heat Stress
Sheep,9,No,No,No,Not Vaccinated,37.8,57.4,Healthy
Sheep,3,Yes,No,Yes,Not Vaccinated,40.5,43.6,Foot and Mouth
Buffalo,2,No,No,No,Not Vaccinated,37.9,40.7,Healthy
Goat,14,No,No,No,Not Vaccinated,38.1,58.2,Healthy
Buffalo,10,No,No,No,Up to date,37.7,55.7,Healthy
Buffalo,2,Yes,Yes,No,Up to date,41.1,88.9,Heat Stress
Cow,9,No,Yes,Yes,Not Vaccinated,40.7,84.9,Heat Stress
Goat,13,No,No,No,Not Vaccinated,37.8,64.3,Healthy
Buffalo,8,No,No,No,Not Vaccinated,38.1,55.3,Healthy
Goat,8,No,No,No,Up to date,38.2,59.1,Healthy
Sheep,4,No,No,No,Not Vaccinated,37.6,85.6,Healthy
Buffalo,3,No,No,No,Up to date,37.7,62.7,Healthy
Sheep,5,No,No,No,Not Vaccinated,37.6,36.0,Healthy
Sheep,3,Yes,No,No,Up to date,39.6,88.9,Respiratory Infection
Sheep,13,No,No,No,Not Vaccinated,37.9,64.6,Healthy
Buffalo,13,Yes,Yes,No,Not Vaccinated,39.9,63.6,Mastitis
Goat,2,Yes,Yes,No,Up to date,41.0,85.1,Heat Stress
Buffalo,15,No,Yes,No,Not Vaccinated,40.0,62.6,Mastitis
Goat,6,Yes,No,No,Not Vaccinated,40.9,84.8,Heat Stress
Cow,5,Yes,Yes,Yes,Not Vaccinated,37.9,85.2,Respiratory Infection
Cow,2,No,No,No,Up to date,37.8,41.1,Healthy
Buffalo,12,No,No,No,Up to date,37.6,39.4,Healthy
Buffalo,6,No,No,No,Not Vaccinated,38.2,88.5,Healthy
Sheep,8,No,No,No,Up to date,37.7,44.9,Healthy
Goat,4,Yes,No,Yes,Up to date,38.3,87.2,Respiratory Infection
Sheep,3,No,No,No,Not Vaccinated,38.5,36.8,Healthy
Sheep,10,No,No,No,Up to date,37.6,38.5,Healthy
Buffalo,3,No,No,No,Up to date,38.5,63.7,Healthy
Cow,6,No,No,No,Up to date,37.7,36.3,Healthy
Sheep,15,No,No,No,Not Vaccinated,38.1,41.8,Healthy
Buffalo,6,Yes,No,Yes,Not Vaccinated,40.8,81.3,Heat Stress
Cow,8,No,No,No,Up to date,37.5,55.5,Healthy
Sheep,11,No,No,No,Not Vaccinated,38.4,35.0,Healthy
Goat,3,No,No,No,Not Vaccinated,38.1,57.1,Healthy
Sheep,9,No,No,No,Up to date,37.6,61.9,Healthy
Sheep,5,No,No,No,Up to date,38.3,58.9,Healthy
Sheep,8,No,No,No,Up to date,37.7,59.6,Healthy
Goat,1,No,No,No,Not Vaccinated,38.5,61.7,Healthy
Cow,8,Yes,No,No,Up to date,39.4,86.7,Respiratory Infection
Buffalo,5,No,No,No,Not Vaccinated,37.7,36.0,Healthy
Cow,6,Yes,No,No,Not Vaccinated,40.5,84.6,Heat Stress
Sheep,14,No,No,No,Not Vaccinated,38.3,37.7,Healthy
Sheep,1,Yes,Yes,Yes,Up to date,39.9,37.4,Mastitis
Cow,14,No,No,No,Up to date,38.1,64.9,Healthy
Sheep,12,No,No,No,Up to date,38.3,44.6,Healthy
Sheep,3,Yes,Yes,No,Not Vaccinated,40.7,84.7,Heat Stress
Cow,14,No,No,No,Not Vaccinated,38.0,88.1,Healthy
Sheep,9,No,No,No,Up to date,37.9,62.5,Healthy
Cow,5,No,No,No,Up to date,37.9,64.9,Healthy
Goat,13,No,No,No,Not Vaccinated,38.2,37.3,Healthy
Cow,15,No,Yes,Yes,Not Vaccinated,39.0,87.5,Mastitis
Buffalo,7,Yes,Yes,Yes,Up to date,40.9,38.7,Foot and Mouth
Goat,4,No,No,No,Up to date,37.6,86.4,Healthy
Cow,2,No,No,No,Not Vaccinated,37.6,38.5,Healthy
Buffalo,11,No,No,No,Up to date,38.3,60.5,Healthy
Goat,2,No,No,No,Up to date,37.6,56.2,Healthy
Sheep,15,No,Yes,Yes,Up to date,39.2,35.1,Mastitis
Cow,8,No,No,No,Up to date,37.9,40.0,Healthy
Sheep,7,No,No,No,Up to date,37.8,64.4,Healthy
Sheep,13,No,No,No,Up to date,37.7,88.2,Healthy
Cow,12,No,No,No,Up to date,38.3,56.3,Healthy
Cow,6,No,No,No,Up to date,38.5,36.2,Healthy
Cow,2,No,No,No,Not Vaccinated,37.6,42.9,Healthy
Goat,10,No,No,No,Not Vaccinated,37.6,60.0,Healthy
Sheep,12,No,No,No,Not Vaccinated,41.4,81.8,Heat Stress
Sheep,5,Yes,Yes,Yes,Not Vaccinated,37.9,80.1,Respiratory Infection
Sheep,9,No,No,No,Up to date,37.5,59.5,Healthy
Buffalo,1,No,No,No,Not Vaccinated,38.5,41.9,Healthy
Buffalo,14,No,No,No,Up to date,38.0,36.0,Healthy
Goat,10,Yes,Yes,Yes,Up to date,37.8,83.9,Respiratory Infection
Buffalo,9,No,Yes,No,Up to date,39.6,40.2,Mastitis
Cow,15,No,No,No,Not Vaccinated,37.6,41.4,Healthy
Goat,13,Yes,No,Yes,Up to date,40.5,57.6,Foot and Mouth
Sheep,4,Yes,Yes,No,Not Vaccinated,39.9,64.1,Mastitis
Buffalo,15,No,No,No,Not Vaccinated,38.2,42.5,Healthy
Buffalo,11,No,Yes,No,Up to date,39.8,89.5,Mastitis
Sheep,6,Yes,No,Yes,Up to date,39.2,88.5,Respiratory Infection
Goat,11,No,No,No,Not Vaccinated,37.7,39.0,Healthy
Sheep,13,No,No,No,Not Vaccinated,37.5,62.9,Healthy
Goat,5,No,No,No,Not Vaccinated,38.0,61.5,Healthy
Buffalo,4,No,No,No,Not Vaccinated,38.2,55.2,Healthy
Buffalo,6,No,Yes,No,Not Vaccinated,39.6,60.7,Mastitis
Cow,6,Yes,No,Yes,Up to date,41.4,42.2,Foot and Mouth
Goat,13,No,No,No,Up to date,40.6,86.0,Heat Stress
Goat,2,Yes,Yes,No,Not Vaccinated,41.4,87.7,Heat Stress
Buffalo,15,No,No,No,Not Vaccinated,38.4,44.3,Healthy
Cow,2,No,No,No,Not Vaccinated,37.8,64.0,Healthy
Goat,8,No,No,No,Up to date,37.7,42.5,Healthy
Goat,9,No,No,No,Not Vaccinated,37.5,58.9,Healthy
Sheep,15,No,No,No,Not Vaccinated,37.7,85.2,Healthy
Cow,1,No,No,No,Up to date,37.6,62.4,Healthy
Cow,12,No,No,No,Up to date,37.8,44.3,Healthy
Cow,4,Yes,Yes,Yes,Not Vaccinated,39.2,88.4,Respiratory Infection
Goat,4,No,No,No,Not Vaccinated,37.9,82.9,Healthy
Cow,9,No,No,No,Not Vaccinated,37.9,57.0,Healthy
Cow,9,No,No,No,Not Vaccinated,37.5,60.9,Healthy
Cow,10,Yes,Yes,Yes,Up to date,37.8,88.9,Respiratory Infection
Sheep,2,No,No,No,Not Vaccinated,38.3,57.0,Healthy
Cow,5,Yes,No,Yes,Not Vaccinated,38.2,85.0,Respiratory Infection
Sheep,8,Yes,Yes,Yes,Not Vaccinated,39.9,85.6,Respiratory Infection
Cow,2,No,Yes,Yes,Not Vaccinated,39.4,55.9,Mastitis
Goat,13,No,No,No,Not Vaccinated,38.4,40.1,Healthy
Cow,1,No,No,No,Not Vaccinated,37.9,63.2,Healthy
Buffalo,5,Yes,No,No,Up to date,37.9,81.5,Respiratory Infection
Sheep,1,No,Yes,No,Not Vaccinated,40.0,42.9,Mastitis
Sheep,2,No,Yes,No,Not Vaccinated,39.6,55.9,Mastitis
Buffalo,8,No,No,No,Not Vaccinated,38.5,39.1,Healthy
Sheep,13,No,No,No,Up to date,37.6,39.1,Healthy
Sheep,14,No,No,No,Up to date,37.8,35.1,Healthy
Sheep,7,No,Yes,No,Up to date,39.4,83.5,Mastitis
Sheep,5,No,No,No,Up to date,38.4,43.5,Healthy
Sheep,2,No,No,No,Up to date,38.4,61.7,Healthy
Buffalo,7,No,No,No,Not Vaccinated,37.7,61.0,Healthy
Buffalo,4,No,No,No,Not Vaccinated,38.2,41.4,Healthy
Sheep,8,No,No,No,Not Vaccinated,38.4,44.6,Healthy
Sheep,7,No,No,No,Not Vaccinated,38.2,65.0,Healthy
Goat,1,No,No,No,Up to date,38.1,58.7,Healthy
Sheep,7,No,No,No,Not Vaccinated,38.2,58.0,Healthy
Buffalo,4,Yes,No,Yes,Not Vaccinated,41.3,43.6,Foot and Mouth
Buffalo,8,No,No,No,Up to date,37.9,41.0,Healthy
Sheep,7,No,No,No,Not Vaccinated,37.8,41.8,Healthy
Sheep,5,Yes,Yes,Yes,Not Vaccinated,37.8,85.4,Respiratory Infection
Cow,10,Yes,Yes,Yes,Up to date,41.5,60.8,Foot and Mouth
Goat,7,Yes,Yes,No,Up to date,39.6,87.3,Respiratory Infection
Goat,10,No,Yes,No,Up to date,40.9,84.9,Heat Stress
Cow,14,No,No,No,Not Vaccinated,37.5,38.2,Healthy
Buffalo,14,Yes,Yes,No,Not Vaccinated,37.7,84.2,Respiratory Infection
Buffalo,15,No,No,No,Not Vaccinated,38.3,56.6,Healthy
Cow,4,Yes,Yes,No,Not Vaccinated,39.8,58.6,Mastitis
Sheep,5,Yes,Yes,No,Up to date,38.3,81.2,Respiratory Infection
Goat,8,No,No,No,Not Vaccinated,37.8,59.4,Healthy
Sheep,13,Yes,Yes,Yes,Not Vaccinated,41.0,55.7,Foot and Mouth
Goat,4,No,No,No,Not Vaccinated,38.4,56.5,Healthy
Buffalo,1,No,Yes,No,Not Vaccinated,39.5,56.9,Mastitis
Buffalo,2,No,No,No,Not Vaccinated,37.6,35.0,Healthy
Buffalo,3,Yes,Yes,No,Not Vaccinated,39.8,80.4,Respiratory Infection
Goat,15,Yes,No,No,Up to date,39.2,80.4,Respiratory Infection
Cow,1,Yes,Yes,Yes,Not Vaccinated,38.5,83.3,Respiratory Infection
Cow,15,No,No,No,Not Vaccinated,38.4,82.0,Healthy
Buffalo,4,No,No,No,Up to date,38.3,88.2,Healthy
Sheep,13,Yes,Yes,Yes,Up to date,41.0,81.4,Heat Stress
Buffalo,2,Yes,No,Yes,Not Vaccinated,39.0,83.5,Respiratory Infection
Buffalo,14,No,No,No,Up to date,38.2,59.5,Healthy
Cow,1,No,Yes,Yes,Up to date,41.0,89.3,Heat Stress
Buffalo,5,Yes,No,No,Up to date,40.9,83.6,Heat Stress
Buffalo,14,No,No,No,Up to date,38.2,57.2,Healthy
Goat,1,No,Yes,Yes,Not Vaccinated,39.9,83.7,Mastitis
Sheep,8,No,No,No,Up to date,38.0,55.5,Healthy
Buffalo,10,No,No,No,Up to date,37.6,55.2,Healthy
Sheep,8,No,No,No,Not Vaccinated,38.4,45.0,Healthy
Cow,9,No,No,No,Up to date,37.6,59.9,Healthy
Buffalo,7,No,No,No,Up to date,38.4,40.8,Healthy
Buffalo,6,Yes,Yes,No,Up to date,39.6,87.3,Respiratory Infection
Buffalo,8,No,No,No,Not Vaccinated,38.2,41.3,Healthy
Cow,14,No,Yes,No,Not Vaccinated,40.8,86.0,Heat Stress
Buffalo,5,No,Yes,No,Not Vaccinated,39.5,44.7,Mastitis
Cow,14,Yes,Yes,No,Not Vaccinated,38.2,85.9,Respiratory Infection
Goat,15,Yes,Yes,Yes,Up to date,37.8,87.3,Respiratory Infection
Goat,9,No,No,No,Up to date,38.4,41.5,Healthy
Sheep,13,No,No,No,Not Vaccinated,37.8,64.3,Healthy
Goat,8,Yes,Yes,Yes,Up to date,38.4,89.0,Respiratory Infection
Goat,10,No,Yes,No,Up to date,40.6,81.3,Heat Stress
Buffalo,6,Yes,No,Yes,Not Vaccinated,40.8,43.4,Foot and Mouth
Sheep,1,No,No,No,Up to date,38.2,64.8,Healthy
Buffalo,7,No,No,No,Up to date,37.7,62.5,Healthy
Cow,10,Yes,Yes,Yes,Not Vaccinated,37.9,86.3,Respiratory Infection
Cow,7,No,No,No,Not Vaccinated,37.7,45.0,Healthy
Sheep,15,No,No,No,Up to date,38.2,57.5,Healthy
Buffalo,8,No,No,No,Up to date,37.8,38.1,Healthy
Cow,3,No,No,No,Not Vaccinated,37.9,62.9,Healthy
Cow,11,No,No,No,Up to date,38.4,38.3,Healthy
Cow,10,Yes,Yes,No,Up to date,39.6,81.3,Respiratory Infection
Goat,10,No,No,No,Up to date,38.5,43.0,Healthy
Cow,5,No,No,No,Not Vaccinated,37.9,62.6,Healthy
Buffalo,6,No,No,No,Not Vaccinated,38.2,86.5,Healthy
Buffalo,2,Yes,Yes,No,Up to date,39.0,40.7,Mastitis
Cow,4,No,No,No,Not Vaccinated,38.1,61.0,Healthy
Sheep,10,No,No,No,Up to date,38.3,37.2,Healthy
Sheep,10,No,No,No,Not Vaccinated,37.6,36.2,Healthy
Sheep,7,No,No,No,Not Vaccinated,37.7,43.1,Healthy
Cow,1,No,No,No,Not Vaccinated,38.4,57.5,Healthy
